area,area_type,occupation,tot_emp,emp_prse,h_mean,a_mean,h_pct10,h_median,h_pct90,a_pct10,a_median,a_pct90
A1,2,Market Research Analysts and Marketing Specialists,2890,5,28.82,59960,15.07,26.52,46.59,31340,55150,96900
A1,2,"Business Operations Specialists, All Other",6510,2.9,38.92,80960,22.9,36.66,59.18,47620,76250,123090
A1,2,Accountants and Auditors,14840,2.3,32.23,67040,19.28,29.38,48.19,40110,61110,100240
A1,2,Appraisers and Assessors of Real Estate,740,11.5,25.63,53300,13.29,23.23,40.84,27640,48320,84940
A1,2,Budget Analysts,810,3,36.88,76710,22.46,36.06,52.59,46720,75010,109390
A1,2,Credit Analysts,420,11.9,29.01,60340,16.29,26.82,46.05,33880,55790,95790
A1,2,Financial Analysts,1390,7.8,42.99,89420,19.49,35.71,77.78,40540,74270,161780
A1,2,Personal Financial Advisors,1810,9,58.93,122580,20.05,42.46,90,41700,88310,90
A1,2,Insurance Underwriters,690,18.6,26.84,55820,16.1,23.87,41.01,33490,49640,85290
A1,2,Financial Examiners,830,4.2,31.05,64580,18.2,28.06,50.25,37850,58370,104530
A1,2,Credit Counselors,100,35.2,24.66,51290,14.58,18.14,50.96,30320,37740,106000
A1,2,Loan Officers,3480,6.4,32.72,68050,16.37,27.74,55.33,34050,57690,115090
A1,2,"Tax Examiners and Collectors, and Revenue Agents",1130,1.6,26.91,55980,13.58,25.68,42.75,28250,53420,88910
A1,2,Tax Preparers,510,21.9,14.04,29200,8.38,12.86,22.12,17420,26750,46020
A1,2,"Financial Specialists, All Other",700,6.7,34.77,72320,14.35,34.88,51.73,29850,72540,107590
A1,2,Computer and Mathematical Occupations,38260,3.4,37.59,78180,19.63,36,59.03,40830,74870,122770
A1,2,Computer and Information Research Scientists,240,7.3,51.57,107260,31.19,49.43,73.46,64870,102820,152800
A1,2,Computer Systems Analysts,4170,10.6,36.99,76940,24.05,36.14,51.89,50030,75170,107920
A1,2,Information Security Analysts,1170,32.9,41.16,85610,26.42,41.27,57.05,54960,85840,118660
A1,2,Computer Programmers,5850,6.2,40,83190,23.94,38.61,60.98,49790,80300,126830
A1,2,"Software Developers, Applications",4750,10.3,45.44,94500,26.33,44.26,68.3,54760,92070,142060
A1,2,"Software Developers, Systems Software",4340,6.6,47.97,99770,28.99,45.99,72.58,60310,95650,150960
A1,2,Web Developers,580,7.7,26.86,55860,14.21,25.3,43,29550,52610,89440
A1,2,Database Administrators,1730,5.9,36.37,75660,21.52,35.55,54.2,44760,73950,112730
A1,2,Network and Computer Systems Administrators,4580,3.2,34.14,71020,21.13,32.43,49.63,43940,67450,103240
A1,2,Computer Network Architects,870,11.7,45.58,94800,29.35,44.5,62.62,61050,92570,130240
A1,2,Computer User Support Specialists,5870,3.6,22.61,47020,12.67,21.45,35.03,26340,44610,72860
A1,2,Computer Network Support Specialists,1210,5.7,28.62,59530,16.95,27.94,42.05,35260,58120,87450
A1,2,"Computer Occupations, All Other",1660,1.2,42.11,87580,30.07,41.62,54.61,62550,86580,113590
A1,2,Actuaries,50,16.6,47.39,98570,28.67,43.27,70.6,59620,89990,146860
A1,2,Operations Research Analysts,950,17.6,45.72,95090,26.82,44.84,68.38,55780,93260,142220
A1,2,Statisticians,220,7.4,30.17,62750,17.39,28.86,46.91,36170,60020,97570
A1,2,Architecture and Engineering Occupations,41830,1.8,41.41,86130,20.32,39.18,66.43,42260,81500,138170
A1,2,"Architects, Except Landscape and Naval",940,8,38.87,80850,23.79,35.14,60.81,49490,73090,126470
A1,2,Landscape Architects,50,28.8,32.6,67810,22.32,30.59,44.76,46420,63630,93110
A1,2,Cartographers and Photogrammetrists,150,8.4,29.4,61150,19.53,28.76,40.92,40620,59820,85110
A1,2,Surveyors,680,8.1,25.43,52890,13.57,24.44,39.04,28230,50840,81200
A1,2,Aerospace Engineers,4200,5.4,52.87,109980,32.27,53.01,73.46,67120,110270,152790
A1,2,Biomedical Engineers,**,**,42.1,87570,30.79,42.79,54.79,64030,89010,113960
A1,2,Chemical Engineers,510,13.1,48.06,99970,31.64,47.88,66.46,65810,99590,138240
A1,2,Civil Engineers,3310,4.4,37.43,77850,22.41,35.07,55.96,46610,72950,116400
A1,2,Computer Hardware Engineers,1360,7.9,51.82,107780,33.51,52.56,73.69,69700,109320,153280
A1,2,Electrical Engineers,5030,7,46.04,95770,27.85,44.52,68.6,57930,92610,142690
A1,2,"Electronics Engineers, Except Computer",2110,9.2,50.4,104830,30,49.17,73.7,62390,102260,153290
A1,2,Environmental Engineers,740,8.6,38.79,80680,21.25,37.12,58.76,44190,77210,122230
A1,2,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",470,10.6,44.93,93440,28.37,45.12,62.03,59020,93840,129020
A1,2,Industrial Engineers,4400,5.4,42.61,88640,26.63,39.9,61.74,55390,83000,128430
A1,2,Materials Engineers,550,6.5,49.02,101970,29.03,49.52,69.59,60380,103010,144750
A1,2,Mechanical Engineers,3520,4.5,42.3,87990,26.99,40.67,59.87,56130,84600,124530
A1,2,"Mining and Geological Engineers, Including Mining Safety Engineers",180,9.3,41.95,87260,23.85,40.2,63.77,49600,83610,132640
A1,2,Nuclear Engineers,**,**,59.68,124140,39.11,53.18,89.62,81340,110610,186410
A1,2,Petroleum Engineers,140,27.1,67.55,140490,35.04,58.96,90,72880,122630,90
A1,2,"Engineers, All Other",3530,3.2,55.08,114560,30.74,54.42,73.7,63940,113200,153290
A1,2,Architectural and Civil Drafters,1010,7.2,23.8,49510,15.55,23.59,32.13,32340,49070,66820
A1,2,Electrical and Electronics Drafters,420,20,30.43,63290,17.31,29.18,46,36000,60680,95680
A1,2,Mechanical Drafters,740,8.4,28.26,58780,16.31,25.05,46.19,33920,52110,96070
A1,2,"Drafters, All Other",220,13.4,20.54,42730,12.47,19.38,30.43,25940,40320,63290
A1,2,Aerospace Engineering and Operations Technicians,220,16.8,29.95,62290,16.09,29.71,45.85,33460,61810,95370
A1,2,Civil Engineering Technicians,1150,5.2,19.28,40110,12.76,17.69,28.26,26540,36790,58790
A1,2,Electrical and Electronics Engineering Technicians,2060,7.5,28.7,59700,16.92,28.49,41.67,35190,59250,86660
A1,2,Electro-Mechanical Technicians,70,28.4,24.95,51890,18.56,22.82,35.75,38590,47460,74370
A1,2,Environmental Engineering Technicians,240,13,27.11,56390,15.16,25.05,41.29,31530,52100,85880
A1,2,Industrial Engineering Technicians,1040,5.1,28.22,58690,16.93,28.04,38.7,35210,58320,80500
A1,2,Mechanical Engineering Technicians,770,10.9,25.71,53480,16.07,25.66,36.86,33430,53370,76670
A1,2,"Engineering Technicians, Except Drafters, All Other",860,11.8,30.18,62780,16.05,29.56,44.59,33390,61480,92740
A1,2,Surveying and Mapping Technicians,740,7.7,19.16,39850,10.61,17.6,30.24,22070,36610,62890
A1,2,"Life, Physical, and Social Science Occupations",9100,2.9,29.79,61970,14.88,25.86,49.67,30960,53790,103320
A1,2,Soil and Plant Scientists,50,13.5,29.75,61880,19.57,24.46,46.79,40710,50880,97320
A1,2,Biochemists and Biophysicists,**,**,43.71,90920,25.08,40.64,76.39,52170,84520,158890
A1,2,Microbiologists,120,6.3,34.22,71170,16.74,32.73,59.58,34810,68070,123920
A1,2,Zoologists and Wildlife Biologists,100,6.1,30.05,62490,19.9,29.32,43.59,41390,60990,90660
A1,2,"Biological Scientists, All Other",220,11.1,30.02,62450,16.09,31.9,39.38,33460,66360,81910
A1,2,Conservation Scientists,110,7.2,34.51,71780,22.75,35.66,43.88,47320,74180,91260
A1,2,Foresters,300,23.1,27.71,57640,17.19,26.52,37.67,35760,55160,78360
A1,2,Epidemiologists,40,0,30.55,63550,22.4,31.86,37.51,46590,66280,78020
A1,2,"Medical Scientists, Except Epidemiologists",550,1.5,27.4,56980,18.09,23.35,36.1,37620,48570,75090
A1,2,"Life Scientists, All Other",40,4.3,51.44,107000,33.39,48.08,75.85,69440,100010,157760
A1,2,Physicists,240,17,60.75,126350,28.62,59.01,87.58,59520,122740,182160
A1,2,Atmospheric and Space Scientists,200,27.5,40.07,83340,25.33,39.58,56.23,52690,82320,116950
A1,2,Chemists,710,16.8,37.72,78450,21.67,35.27,59.24,45070,73350,123220
A1,2,Materials Scientists,90,17.3,43.15,89740,22.51,40.79,73.14,46820,84840,152120
A1,2,"Environmental Scientists and Specialists, Including Health",870,3.8,29.37,61090,17.7,27.56,43.81,36820,57320,91120
A1,2,"Geoscientists, Except Hydrologists and Geographers",240,15.2,39.27,81680,20.55,34.82,60.13,42740,72420,125070
A1,2,"Physical Scientists, All Other",170,0,34.86,72510,13.72,31.38,60.06,28540,65280,124930
A1,2,"Clinical, Counseling, and School Psychologists",640,18.2,37.49,77980,19.74,27.49,82.29,41060,57170,171170
A1,2,"Psychologists, All Other",120,0,43.8,91100,28.15,45.48,52.17,58560,94590,108510
A1,2,Urban and Regional Planners,330,1.8,29.17,60680,17.38,28.84,42.45,36150,59980,88300
A1,2,Anthropologists and Archeologists,90,22.3,21.82,45390,13.3,21.15,29.93,27670,43990,62250
A1,2,Historians,50,2.8,30.9,64280,16.38,28.05,50.55,34070,58350,105140
A1,2,"Social Scientists and Related Workers, All Other",230,1,39.2,81530,27.14,36.61,53.02,56450,76140,110270
A1,2,Agricultural and Food Science Technicians,130,1.7,22.67,47160,12.71,21.76,34.95,26430,45270,72690
A1,2,Biological Technicians,830,6.8,17.89,37200,11.57,17.4,25.56,24070,36190,53170
A1,2,Chemical Technicians,750,7,23.44,48750,12.42,22.76,36,25840,47330,74880
A1,2,Geological and Petroleum Technicians,100,22.3,25.8,53660,15.36,22.63,44.6,31940,47070,92760
A1,2,Nuclear Technicians,100,18.1,32.22,67010,18.6,34.01,40.7,38680,70730,84650
A1,2,"Environmental Science and Protection Technicians, Including Health",430,22.5,22.64,47100,11.81,21.56,34.82,24570,44840,72430
A1,2,Forensic Science Technicians,170,8.3,26.76,55650,16.98,23.07,45.41,35330,47970,94460
A1,2,Forest and Conservation Technicians,250,2,21.36,44430,15.46,21.05,27.53,32160,43790,57270
A1,2,"Life, Physical, and Social Science Technicians, All Other",600,3.6,18.61,38710,10.49,17.09,28.7,21810,35540,59690
A1,2,Community and Social Service Occupations,17510,2.4,20.67,42990,11.14,19.66,31.51,23180,40900,65540
A1,2,Substance Abuse and Behavioral Disorder Counselors,680,12.3,19.92,41420,12.24,18.69,29.95,25450,38880,62300
A1,2,"Educational, Guidance, School, and Vocational Counselors",3200,3.5,24.94,51870,15.83,25.63,34.32,32930,53310,71380
A1,2,Marriage and Family Therapists,220,23.6,19.12,39760,12.39,19.46,24.65,25780,40470,51280
A1,2,Mental Health Counselors,930,12.1,22.57,46940,15.1,21.47,33.06,31410,44670,68770
A1,2,Rehabilitation Counselors,940,8.4,17.47,36330,8.56,15.5,28.96,17810,32250,60240
A1,2,"Counselors, All Other",120,18,19.53,40630,9.23,17.51,30.03,19190,36430,62460
A1,2,"Child, Family, and School Social Workers",3840,4,19.8,41180,12.43,18.49,29.61,25860,38450,61590
A1,2,Healthcare Social Workers,2140,3.7,22.55,46900,14.03,22.06,32,29190,45890,66570
A1,2,Mental Health and Substance Abuse Social Workers,1370,9.7,17.68,36770,11.5,16.14,26.71,23920,33570,55550
A1,2,"Social Workers, All Other",320,6.6,29.46,61270,14.29,31.91,38.24,29720,66370,79550
A1,2,Health Educators,290,16.6,20.67,43000,12.21,18.38,33.32,25390,38240,69320
A1,2,Probation Officers and Correctional Treatment Specialists,970,5.9,22.19,46150,14.24,21.56,32.23,29610,44850,67050
A1,2,Social and Human Service Assistants,1360,7.9,12.48,25970,8.08,11.52,18.61,16800,23960,38710
A1,2,Community Health Workers,520,12,19.82,41220,9.67,16.68,37.81,20120,34700,78640
A1,2,"Community and Social Service Specialists, All Other",100,33.7,18.34,38150,8.97,16.51,34.25,18660,34330,71240
A1,2,Clergy,400,14.3,20.62,42890,9.67,19.92,32.27,20110,41440,67120
A1,2,"Directors, Religious Activities and Education",50,21.8,19.9,41390,10.02,16.43,36,20840,34170,74880
A1,2,"Religious Workers, All Other",50,22.4,11.71,24360,7.84,9.23,22.01,16310,19190,45780
A1,2,Legal Occupations,9690,3.9,40.36,83950,14.7,30.21,78.34,30580,62830,162950
A1,2,Lawyers,5240,4.5,55.2,114820,25.14,48.01,90,52290,99860,90
A1,2,"Administrative Law Judges, Adjudicators, and Hearing Officers",100,2.4,61.3,127500,32.1,71.56,80.47,66770,148850,167370
A1,2,"Arbitrators, Mediators, and Conciliators",40,3.6,30.32,63060,16.22,31.14,42.91,33740,64770,89260
A1,2,"Judges, Magistrate Judges, and Magistrates",540,3.5,29.93,62250,14.01,23.02,55.65,29150,47890,115750
A1,2,Paralegals and Legal Assistants,2860,8.8,21.36,44430,12.96,20.16,30.46,26950,41930,63360
A1,2,Court Reporters,350,9.3,18.43,38340,8.06,17.12,29.3,16770,35610,60950
A1,2,"Title Examiners, Abstractors, and Searchers",300,24.6,15.85,32980,9.33,16.03,22.71,19400,33330,47240
A1,2,"Legal Support Workers, All Other",250,4.4,24.46,50880,16.11,23.18,30.25,33510,48210,62930
A1,2,"Education, Training, and Library Occupations",108240,1.5,22.26,46310,8.4,21.73,33.35,17470,45210,69370
A1,2,"Business Teachers, Postsecondary",1330,14,*,91140,*,*,*,33630,73940,174370
A1,2,"Computer Science Teachers, Postsecondary",340,5,*,92670,*,*,*,50400,80150,153720
A1,2,"Mathematical Science Teachers, Postsecondary",780,8.5,*,71120,*,*,*,40380,61500,119960
A1,2,"Architecture Teachers, Postsecondary",100,0,*,99180,*,*,*,66530,97130,143010
A1,2,"Engineering Teachers, Postsecondary",620,2.2,*,128580,*,*,*,65180,121950,90
A1,2,"Agricultural Sciences Teachers, Postsecondary",230,0.4,*,103120,*,*,*,50970,99740,156810
A1,2,"Biological Science Teachers, Postsecondary",800,3.3,*,85770,*,*,*,43590,72960,147660
A1,2,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",50,2,*,95900,*,*,*,39570,85180,158860
A1,2,"Chemistry Teachers, Postsecondary",290,6.4,*,77510,*,*,*,43700,68200,122060
A1,2,"Environmental Science Teachers, Postsecondary",60,5.5,*,75520,*,*,*,42430,71260,114570
A1,2,"Physics Teachers, Postsecondary",180,1.7,*,90610,*,*,*,47330,84370,148380
A1,2,"Economics Teachers, Postsecondary",140,4.3,*,114040,*,*,*,31360,96530,90
A1,2,"Geography Teachers, Postsecondary",60,2.3,*,85070,*,*,*,51640,78660,139080
A1,2,"Political Science Teachers, Postsecondary",180,9.7,*,81020,*,*,*,52520,71350,123690
A1,2,"Psychology Teachers, Postsecondary",440,6.1,*,77640,*,*,*,35320,67620,127560
A1,2,"Sociology Teachers, Postsecondary",140,2.4,*,65510,*,*,*,38890,62090,94660
A1,2,"Nursing Instructors and Teachers, Postsecondary",1430,15.3,*,59510,*,*,*,19250,58320,93750
A1,2,"Education Teachers, Postsecondary",810,1.4,*,74010,*,*,*,34480,70910,118390
A1,2,"Library Science Teachers, Postsecondary",190,0.4,*,64960,*,*,*,43120,61530,91820
A1,2,"Criminal Justice and Law Enforcement Teachers, Postsecondary",150,25.8,*,72750,*,*,*,43140,62250,118710
A1,2,"Law Teachers, Postsecondary",180,1,*,86290,*,*,*,32960,42720,90
A1,2,"Social Work Teachers, Postsecondary",100,0,*,72990,*,*,*,37000,67710,114120
A1,2,"Art, Drama, and Music Teachers, Postsecondary",730,3.3,*,62860,*,*,*,33080,60940,95080
A1,2,"Communications Teachers, Postsecondary",340,5.7,*,72440,*,*,*,41720,63320,122460
A1,2,"English Language and Literature Teachers, Postsecondary",990,8.9,*,57850,*,*,*,32790,56630,81860
A1,2,"Foreign Language and Literature Teachers, Postsecondary",200,3.4,*,66850,*,*,*,41020,62920,96370
A1,2,"History Teachers, Postsecondary",350,5.5,*,66930,*,*,*,30500,64710,97560
A1,2,"Philosophy and Religion Teachers, Postsecondary",250,10.6,*,72650,*,*,*,43030,66090,112960
A1,2,Graduate Teaching Assistants,60,3.7,*,18460,*,*,*,16000,17960,21010
A1,2,"Home Economics Teachers, Postsecondary",180,1.1,*,83720,*,*,*,35590,82050,133080
A1,2,"Recreation and Fitness Studies Teachers, Postsecondary",220,7.9,*,60730,*,*,*,23150,56500,94220
A1,2,"Vocational Education Teachers, Postsecondary",2300,8.5,18.56,38600,8.12,18.22,32.14,16890,37900,66850
A1,2,"Postsecondary Teachers, All Other",3150,3.9,*,*,*,*,*,*,*,*
A1,2,"Preschool Teachers, Except Special Education",1960,16.8,13.65,28400,8.55,12.78,20.7,17790,26570,43060
A1,2,"Kindergarten Teachers, Except Special Education",1670,9.7,*,46700,*,*,*,33680,47820,60360
A1,2,"Elementary School Teachers, Except Special Education",23800,5.9,*,49700,*,*,*,38760,50390,61510
A1,2,"Middle School Teachers, Except Special and Career/Technical Education",9850,12.5,*,48890,*,*,*,37540,48800,61090
A1,2,"Career/Technical Education Teachers, Middle School",100,24.1,*,50730,*,*,*,40190,52630,61860
A1,2,"Secondary School Teachers, Except Special and Career/Technical Education",12720,9.7,*,49960,*,*,*,37740,49980,62150
A1,2,"Career/Technical Education Teachers, Secondary School",730,13.6,*,52460,*,*,*,40540,52940,63910
A1,2,"Special Education Teachers, Preschool",80,39.7,*,39980,*,*,*,21680,34770,61780
A1,2,"Special Education Teachers, Kindergarten and Elementary School",1430,10.5,*,50400,*,*,*,37840,51720,61670
A1,2,"Special Education Teachers, Middle School",570,20.7,*,48760,*,*,*,36420,49470,60940
A1,2,"Special Education Teachers, Secondary School",880,11.5,*,51150,*,*,*,40830,52460,61460
A1,2,"Special Education Teachers, All Other",40,0,*,55370,*,*,*,39570,60520,66370
A1,2,Adult Basic and Secondary Education and Literacy Teachers and Instructors,640,15,18.28,38030,8.46,18.38,27.72,17590,38240,57660
A1,2,Self-Enrichment Education Teachers,2280,9.3,17.69,36800,8.13,17.58,28.82,16910,36560,59950
A1,2,"Teachers and Instructors, All Other, Except Substitute Teachers",3030,6.8,*,34910,*,*,*,16450,22180,72220
A1,2,Substitute Teachers,14790,10.8,8.5,17670,7.71,8.6,9.53,16040,17890,19810
A1,2,Archivists,50,0.5,28.18,58620,15.61,29.63,39.21,32460,61620,81550
A1,2,Curators,130,14.5,24.66,51290,11.48,25.32,36.02,23880,52660,74920
A1,2,Museum Technicians and Conservators,50,4.7,18.14,37730,12.54,18.44,25.59,26080,38350,53240
A1,2,Librarians,2030,3.7,25.3,52620,17.11,25.86,31.45,35590,53800,65410
A1,2,Library Technicians,1160,4.5,13.77,28640,9.15,13.05,20.15,19040,27150,41910
A1,2,Audio-Visual and Multimedia Collections Specialists,**,**,12.37,25720,9.25,11.06,18.61,19250,23000,38710
A1,2,Farm and Home Management Advisors,380,17.1,25.23,52470,13.4,25.92,35.98,27880,53920,74830
A1,2,Instructional Coordinators,1140,7.1,32.61,67830,20.4,31.88,45.9,42440,66300,95480
A1,2,Teacher Assistants,7850,4.3,*,20220,*,*,*,16230,19400,24770
A1,2,"Education, Training, and Library Workers, All Other",420,10.6,17.84,37110,9.23,16.88,27.15,19200,35120,56470
A1,2,"Arts, Design, Entertainment, Sports, and Media Occupations",16260,4.1,20.56,42760,8.4,16.88,36.31,17470,35120,75520
A1,2,Art Directors,250,22,34.83,72450,21.58,33.54,47.78,44880,69770,99370
A1,2,Craft Artists,110,13.1,13.89,28880,9.61,13.55,18.25,19980,28170,37950
A1,2,Multimedia Artists and Animators,140,14.1,30.8,64060,19.7,29.96,46.23,40970,62330,96150
A1,2,"Artists and Related Workers, All Other",50,15.5,23.19,48240,9.51,21.55,41.16,19790,44830,85610
A1,2,Commercial and Industrial Designers,220,12.2,32.85,68340,18.73,33.58,46.5,38960,69850,96710
A1,2,Floral Designers,720,15.3,11.39,23700,7.96,10.52,15.94,16550,21890,33150
A1,2,Graphic Designers,1540,6.4,19.48,40510,11.6,18.22,29.12,24120,37890,60580
A1,2,Interior Designers,340,14.5,30.29,63010,8.52,22.58,82.98,17730,46970,172590
A1,2,Merchandise Displayers and Window Trimmers,2040,9,12.7,26420,7.97,11.35,21.05,16580,23600,43780
A1,2,Producers and Directors,540,8.6,22.1,45960,12.16,19.89,37.01,25290,41380,76990
A1,2,Coaches and Scouts,3010,18.5,*,37480,*,*,*,16320,20370,72230
A1,2,"Umpires, Referees, and Other Sports Officials",80,30.8,*,24560,*,*,*,15960,18990,38680
A1,2,Music Directors and Composers,100,21.7,19.66,40890,8.26,20.14,34.39,17180,41900,71530
A1,2,Musicians and Singers,150,35.6,*,*,*,*,*,*,*,*
A1,2,Radio and Television Announcers,330,15.5,15.63,32500,8.03,12.75,29.6,16700,26510,61570
A1,2,Public Address System and Other Announcers,50,34.6,*,*,*,*,*,*,*,*
A1,2,Broadcast News Analysts,160,13.8,47.38,98550,18.03,39.69,86.83,37500,82550,180600
A1,2,Reporters and Correspondents,510,10.8,18.88,39270,11.05,16.05,33.32,22980,33370,69310
A1,2,Public Relations Specialists,1980,5.1,24.35,50650,12.78,22.41,38.72,26590,46620,80540
A1,2,Editors,560,12.7,23.3,48460,12.55,21.03,34.63,26100,43740,72030
A1,2,Technical Writers,660,10.7,29.95,62300,19.48,28.73,43.59,40520,59760,90660
A1,2,Writers and Authors,190,12.2,26.79,55720,14.29,24.34,45.05,29710,50620,93700
A1,2,Interpreters and Translators,170,18.2,22.35,46480,15.19,22.23,30.47,31590,46230,63370
A1,2,Audio and Video Equipment Technicians,670,13,17.76,36950,8.92,16.28,31.76,18560,33860,66070
A1,2,Broadcast Technicians,370,13.4,17.49,36380,8.88,14.92,29.55,18460,31030,61460
A1,2,Sound Engineering Technicians,60,18.4,21.19,44080,8.98,17.87,38.84,18690,37170,80790
A1,2,Photographers,550,12.2,16.8,34940,8.45,15.03,30.13,17580,31260,62680
A1,2,"Camera Operators, Television, Video, and Motion Picture",260,13.6,19.37,40290,9.37,18.44,29.13,19500,38340,60590
A1,2,Film and Video Editors,140,15.7,24.36,50660,12.56,21.99,35.23,26110,45750,73270
A1,2,"Media and Communication Equipment Workers, All Other",110,21.3,32.32,67240,14.56,32.65,53.16,30290,67910,110570
A1,2,Healthcare Practitioners and Technical Occupations,122780,1.6,32.98,68600,13.06,24.41,61.52,27160,50780,127970
A1,2,Chiropractors,230,11.6,46.43,96570,20.86,36.99,90,43390,76940,90
A1,2,"Dentists, General",980,15.3,84.07,174870,24.68,78.75,90,51320,163800,90
A1,2,Oral and Maxillofacial Surgeons,**,**,68.86,143230,24.87,70.28,90,51720,146170,90
A1,2,Orthodontists,120,27.6,89.28,185710,52.36,70.73,90,108900,147110,90
